x,y,theta
0.0000,0.0000,0.0000
0.2006,0.0000,0.0000
0.4031,0.0000,0.0000
0.6038,0.0000,0.0000
0.8081,-0.0049,-0.0492
1.0128,-0.0150,-0.0492
1.2175,-0.0251,-0.0492
1.4223,-0.0351,-0.0492
1.6271,-0.0429,-0.0316
1.8320,-0.0493,-0.0316
2.0369,-0.0558,-0.0316
2.2418,-0.0623,-0.0316
2.4467,-0.0688,-0.0316
2.6516,-0.0753,-0.0316
2.8565,-0.0818,-0.0316
3.0614,-0.0882,-0.0316
3.2663,-0.0947,-0.0316
3.4712,-0.1012,-0.0316
3.6711,-0.1075,-0.0316
3.8710,-0.1139,-0.0316
4.0759,-0.1203,-0.0316
4.2806,-0.1152,0.1165
4.4827,-0.0808,0.1792
4.6844,-0.0442,0.1792
4.8861,-0.0077,0.1792
5.0878,0.0288,0.1792
5.2895,0.0654,0.1792
5.4912,0.1019,0.1792
5.6930,0.1385,0.1792
5.8947,0.1750,0.1792
6.0964,0.2115,0.1792
6.2986,0.2446,0.1053
6.5026,0.2654,0.1014
6.7016,0.2856,0.1014
6.9005,0.3259,0.1014
7.0995,0.3461,0.1014
7.2985,0.4063,0.1014
7.5031,0.4166,0.0236
7.7031,0.4160,0.0236
8.1091,0.4140,-0.2538
8.3027,0.4011,-0.2538
8.4963,0.3011,-0.2538
8.6947,0.2192,-0.2737
8.8854,0.0950,-0.4685
9.0582,-0.0148,-0.6633
9.2075,-0.1549,-0.8067
9.3489,-0.3017,-0.7786
9.5078,-0.4305,-0.5840
9.5111,-0.3537,-0.4421
9.6111,-0.3679,-0.4421
9.8121,-0.4522,-0.3838
9.9140,-0.5092,-0.1931
10.0001,-0.6011,0.1507
10.0100,-0.5711,0.1507
10.0500,-0.5701,0.1528
10.0900,-0.5677,0.3346
10.0950,-0.5561,0.5290
10.1000,-0.5311,0.7237
10.1021,-0.4501,0.9185
10.1161,-0.4401,1.1133
10.1883,-0.3300,1.3081
10.2219,-0.1100,1.5029
10.2164,0.1076,1.6701
10.1961,0.9116,1.6701
10.1757,1.1156,1.6701
10.1555,1.3191,1.6701
10.1353,1.5215,1.6701
10.1151,1.7246,1.6701
10.0948,1.9279,1.6701
